recommendation_id,project_id,recommended_by,recommendation_date,recommended_work_type,recommended_amount,reason,approval_status,approval_date,remarks
REC-00035,MPLADS-SYN-0035,MP-481,2026-02-17,Road,1540000,Public utility improvement,Rejected,2026-04-18,Synthetic demonstration record
REC-00036,MPLADS-SYN-0036,MP-510,2026-02-07,School Building,2170000,Local infrastructure need,Approved,2026-03-08,Synthetic demonstration record
REC-00037,MPLADS-SYN-0037,MP-421,2026-01-18,Sports Facility,340000,Road connectivity,Approved,2026-02-03,Synthetic demonstration record
REC-00038,MPLADS-SYN-0038,MP-700,2026-02-02,Road,1400000,Road connectivity,Rejected,2026-03-01,Synthetic demonstration record
REC-00039,MPLADS-SYN-0039,MP-111,2026-03-29,Sports Facility,1000000,Local infrastructure need,Approved,2026-04-17,Synthetic demonstration record
REC-00040,MPLADS-SYN-0040,MP-976,2025-12-02,Street Lighting,850000,Road connectivity,Under Review,2026-01-15,Synthetic demonstration record
REC-00041,MPLADS-SYN-0041,MP-654,2025-12-23,Sports Facility,630000,Local infrastructure need,Under Review,2026-02-11,Synthetic demonstration record
REC-00042,MPLADS-SYN-0042,MP-494,2026-01-28,Community Hall,3930000,Local infrastructure need,Under Review,2026-03-22,Synthetic demonstration record
REC-00043,MPLADS-SYN-0043,MP-889,2026-04-24,Sports Facility,560000,Community facility,Approved,2026-05-21,Synthetic demonstration record
REC-00044,MPLADS-SYN-0044,MP-740,2026-06-05,Sports Facility,1000000,Road connectivity,Approved,2026-07-12,Synthetic demonstration record
REC-00045,MPLADS-SYN-0045,MP-223,2026-06-11,Drainage,1720000,Community facility,Approved,2026-08-07,Synthetic demonstration record
REC-00046,MPLADS-SYN-0046,MP-327,2026-05-05,Health Facility,2470000,Community facility,Rejected,2026-06-23,Synthetic demonstration record
REC-00047,MPLADS-SYN-0047,MP-183,2026-01-11,Library,960000,Community facility,Rejected,2026-03-09,Synthetic demonstration record
REC-00048,MPLADS-SYN-0048,MP-178,2025-10-12,Health Facility,1740000,Water and sanitation,Approved,2025-11-30,Synthetic demonstration record
REC-00049,MPLADS-SYN-0049,MP-757,2026-04-10,Health Facility,1990000,Road connectivity,Approved,2026-06-02,Synthetic demonstration record
REC-00050,MPLADS-SYN-0050,MP-824,2026-01-09,Sports Facility,810000,Public utility improvement,Under Review,2026-01-25,Synthetic demonstration record
REC-00051,MPLADS-SYN-0051,MP-818,2026-04-12,Health Facility,3160000,Local infrastructure need,Rejected,2026-05-02,Synthetic demonstration record
REC-00052,MPLADS-SYN-0052,MP-705,2026-05-01,Sports Facility,1020000,Public utility improvement,Approved,2026-05-24,Synthetic demonstration record
REC-00053,MPLADS-SYN-0053,MP-880,2026-02-02,Health Facility,2940000,Public utility improvement,Under Review,2026-03-25,Synthetic demonstration record
REC-00054,MPLADS-SYN-0054,MP-267,2026-06-04,Drainage,2350000,Public utility improvement,Approved,2026-07-25,Synthetic demonstration record
REC-00055,MPLADS-SYN-0055,MP-142,2025-11-15,Community Hall,3590000,Local infrastructure need,Approved,2025-12-30,Synthetic demonstration record
REC-00056,MPLADS-SYN-0056,MP-174,2026-03-21,Street Lighting,1180000,Water and sanitation,Rejected,2026-04-28,Synthetic demonstration record
REC-00057,MPLADS-SYN-0057,MP-669,2025-12-17,Drainage,1400000,Road connectivity,Rejected,2026-01-10,Synthetic demonstration record
REC-00058,MPLADS-SYN-0058,MP-361,2025-11-06,Sports Facility,1720000,Community facility,Approved,2025-12-15,Synthetic demonstration record
REC-00059,MPLADS-SYN-0059,MP-208,2026-03-26,Solar Lighting,1240000,Local infrastructure need,Approved,2026-05-06,Synthetic demonstration record
REC-00060,MPLADS-SYN-0060,MP-838,2026-07-04,School Building,3390000,Local infrastructure need,Approved,2026-07-22,Synthetic demonstration record
REC-00061,MPLADS-SYN-0061,MP-706,2026-05-25,Drainage,1590000,Road connectivity,Approved,2026-07-06,Synthetic demonstration record
REC-00062,MPLADS-SYN-0062,MP-602,2026-04-11,Street Lighting,1450000,Local infrastructure need,Approved,2026-05-03,Synthetic demonstration record
REC-00063,MPLADS-SYN-0063,MP-667,2026-07-02,Library,1380000,Water and sanitation,Approved,2026-08-27,Synthetic demonstration record
REC-00064,MPLADS-SYN-0064,MP-655,2026-02-28,Health Facility,1650000,Local infrastructure need,Approved,2026-04-26,Synthetic demonstration record
REC-00065,MPLADS-SYN-0065,MP-984,2026-05-22,Drainage,570000,Public utility improvement,Approved,2026-06-18,Synthetic demonstration record
REC-00066,MPLADS-SYN-0066,MP-286,2026-06-27,School Building,3200000,Road connectivity,Under Review,2026-08-18,Synthetic demonstration record
REC-00067,MPLADS-SYN-0067,MP-887,2026-02-19,Sports Facility,1840000,Water and sanitation,Approved,2026-03-09,Synthetic demonstration record
REC-00068,MPLADS-SYN-0068,MP-906,2026-01-08,Solar Lighting,410000,Public utility improvement,Approved,2026-01-30,Synthetic demonstration record
REC-00069,MPLADS-SYN-0069,MP-935,2026-03-19,Drainage,730000,Road connectivity,Rejected,2026-05-08,Synthetic demonstration record
REC-00070,MPLADS-SYN-0070,MP-804,2026-02-15,Drainage,1020000,Community facility,Approved,2026-03-03,Synthetic demonstration record
REC-00071,MPLADS-SYN-0071,MP-820,2025-12-31,School Building,2050000,Water and sanitation,Approved,2026-02-20,Synthetic demonstration record
REC-00072,MPLADS-SYN-0072,MP-980,2026-01-24,Health Facility,1410000,Community facility,Approved,2026-02-26,Synthetic demonstration record
REC-00073,MPLADS-SYN-0073,MP-131,2026-05-19,School Building,2630000,Road connectivity,Approved,2026-06-08,Synthetic demonstration record
REC-00074,MPLADS-SYN-0074,MP-244,2026-03-25,Drinking Water,380000,Local infrastructure need,Approved,2026-05-06,Synthetic demonstration record
REC-00075,MPLADS-SYN-0075,MP-631,2026-05-03,Drainage,2190000,Local infrastructure need,Rejected,2026-06-04,Synthetic demonstration record
REC-00076,MPLADS-SYN-0076,MP-805,2025-12-27,School Building,3460000,Community facility,Approved,2026-01-27,Synthetic demonstration record
REC-00077,MPLADS-SYN-0077,MP-865,2025-12-03,Road,1290000,Water and sanitation,Approved,2026-01-21,Synthetic demonstration record
REC-00078,MPLADS-SYN-0078,MP-177,2026-01-14,School Building,3490000,Community facility,Rejected,2026-02-04,Synthetic demonstration record
REC-00079,MPLADS-SYN-0079,MP-139,2025-11-16,Street Lighting,400000,Community facility,Approved,2025-12-18,Synthetic demonstration record
REC-00080,MPLADS-SYN-0080,MP-677,2025-11-12,Health Facility,1530000,Road connectivity,Under Review,2025-12-14,Synthetic demonstration record
REC-00081,MPLADS-SYN-0081,MP-996,2025-11-21,Sports Facility,1270000,Road connectivity,Approved,2025-12-31,Synthetic demonstration record
REC-00082,MPLADS-SYN-0082,MP-704,2025-12-16,Health Facility,3320000,Road connectivity,Approved,2026-01-26,Synthetic demonstration record
REC-00083,MPLADS-SYN-0083,MP-808,2026-03-24,Community Hall,940000,Water and sanitation,Under Review,2026-04-29,Synthetic demonstration record
REC-00084,MPLADS-SYN-0084,MP-542,2026-04-28,Drinking Water,1540000,Community facility,Approved,2026-06-25,Synthetic demonstration record
REC-00085,MPLADS-SYN-0085,MP-752,2025-12-13,Road,2750000,Community facility,Under Review,2026-02-02,Synthetic demonstration record
REC-00086,MPLADS-SYN-0086,MP-141,2025-09-11,Road,2140000,Water and sanitation,Under Review,2025-10-05,Synthetic demonstration record
REC-00087,MPLADS-SYN-0087,MP-380,2026-04-26,Sports Facility,1610000,Local infrastructure need,Under Review,2026-05-20,Synthetic demonstration record
REC-00088,MPLADS-SYN-0088,MP-733,2026-04-16,Community Hall,1370000,Local infrastructure need,Under Review,2026-06-09,Synthetic demonstration record
REC-00089,MPLADS-SYN-0089,MP-565,2026-05-23,Community Hall,3450000,Water and sanitation,Rejected,2026-06-18,Synthetic demonstration record
REC-00090,MPLADS-SYN-0090,MP-968,2026-01-21,Library,580000,Public utility improvement,Under Review,2026-03-06,Synthetic demonstration record
REC-00091,MPLADS-SYN-0091,MP-870,2026-03-28,Community Hall,1420000,Water and sanitation,Approved,2026-05-20,Synthetic demonstration record
REC-00092,MPLADS-SYN-0092,MP-299,2026-04-22,Road,1790000,Local infrastructure need,Approved,2026-06-01,Synthetic demonstration record
REC-00093,MPLADS-SYN-0093,MP-607,2026-01-17,Community Hall,1160000,Public utility improvement,Rejected,2026-02-08,Synthetic demonstration record
REC-00094,MPLADS-SYN-0094,MP-400,2025-10-06,Solar Lighting,1600000,Water and sanitation,Under Review,2025-11-27,Synthetic demonstration record
REC-00095,MPLADS-SYN-0095,MP-237,2026-05-02,Community Hall,920000,Water and sanitation,Approved,2026-06-24,Synthetic demonstration record
REC-00096,MPLADS-SYN-0096,MP-497,2026-01-08,Road,1670000,Local infrastructure need,Approved,2026-02-16,Synthetic demonstration record
REC-00097,MPLADS-SYN-0097,MP-240,2025-11-22,Library,1660000,Community facility,Rejected,2026-01-03,Synthetic demonstration record
REC-00098,MPLADS-SYN-0098,MP-886,2026-02-15,Solar Lighting,460000,Public utility improvement,Under Review,2026-04-09,Synthetic demonstration record
REC-00099,MPLADS-SYN-0099,MP-230,2026-02-05,Drinking Water,1520000,Road connectivity,Rejected,2026-03-27,Synthetic demonstration record
REC-00100,MPLADS-SYN-0100,MP-746,2025-11-03,Community Hall,2990000,Water and sanitation,Rejected,2025-12-29,Synthetic demonstration record
REC-00101,MPLADS-SYN-0101,MP-227,2026-02-12,Community Hall,1960000,Water and sanitation,Under Review,2026-03-23,Synthetic demonstration record
REC-00102,MPLADS-SYN-0102,MP-959,2025-12-26,Library,1260000,Water and sanitation,Rejected,2026-02-22,Synthetic demonstration record
REC-00103,MPLADS-SYN-0103,MP-145,2026-01-04,Sports Facility,2310000,Public utility improvement,Approved,2026-02-11,Synthetic demonstration record
REC-00104,MPLADS-SYN-0104,MP-235,2025-10-24,Solar Lighting,1560000,Public utility improvement,Approved,2025-12-23,Synthetic demonstration record
REC-00105,MPLADS-SYN-0105,MP-430,2026-03-21,Solar Lighting,1130000,Public utility improvement,Under Review,2026-04-16,Synthetic demonstration record
REC-00106,MPLADS-SYN-0106,MP-448,2026-04-13,Sports Facility,750000,Public utility improvement,Under Review,2026-05-22,Synthetic demonstration record
REC-00107,MPLADS-SYN-0107,MP-100,2025-12-14,Sports Facility,2330000,Community facility,Under Review,2026-01-31,Synthetic demonstration record
REC-00108,MPLADS-SYN-0108,MP-416,2025-11-25,Community Hall,3280000,Community facility,Rejected,2025-12-14,Synthetic demonstration record
REC-00109,MPLADS-SYN-0109,MP-284,2026-02-14,Solar Lighting,1590000,Local infrastructure need,Under Review,2026-03-04,Synthetic demonstration record
REC-00110,MPLADS-SYN-0110,MP-891,2026-05-05,Library,1650000,Public utility improvement,Approved,2026-06-29,Synthetic demonstration record
REC-00111,MPLADS-SYN-0111,MP-849,2026-06-10,Street Lighting,1400000,Public utility improvement,Under Review,2026-07-07,Synthetic demonstration record
REC-00112,MPLADS-SYN-0112,MP-292,2025-11-26,Drainage,430000,Local infrastructure need,Under Review,2026-01-03,Synthetic demonstration record
REC-00113,MPLADS-SYN-0113,MP-117,2026-01-24,Library,540000,Road connectivity,Approved,2026-02-26,Synthetic demonstration record
REC-00114,MPLADS-SYN-0114,MP-252,2025-10-14,Drainage,2010000,Public utility improvement,Approved,2025-11-06,Synthetic demonstration record
REC-00115,MPLADS-SYN-0115,MP-106,2026-05-10,Drainage,2400000,Community facility,Approved,2026-06-03,Synthetic demonstration record
REC-00116,MPLADS-SYN-0116,MP-377,2025-11-03,Drinking Water,1970000,Road connectivity,Approved,2025-11-24,Synthetic demonstration record
REC-00117,MPLADS-SYN-0117,MP-815,2026-04-30,Drainage,2110000,Local infrastructure need,Under Review,2026-05-16,Synthetic demonstration record
REC-00118,MPLADS-SYN-0118,MP-908,2026-02-23,Street Lighting,750000,Water and sanitation,Approved,2026-03-26,Synthetic demonstration record
REC-00119,MPLADS-SYN-0119,MP-919,2025-10-30,Health Facility,3010000,Public utility improvement,Rejected,2025-12-14,Synthetic demonstration record
REC-00120,MPLADS-SYN-0120,MP-880,2025-12-24,Health Facility,4150000,Community facility,Approved,2026-02-21,Synthetic demonstration record
REC-00121,MPLADS-SYN-0121,MP-146,2025-11-02,Health Facility,3870000,Public utility improvement,Approved,2025-11-24,Synthetic demonstration record
REC-00122,MPLADS-SYN-0122,MP-643,2025-10-29,Drinking Water,1560000,Public utility improvement,Approved,2025-11-18,Synthetic demonstration record
REC-00123,MPLADS-SYN-0123,MP-603,2025-12-11,School Building,3860000,Community facility,Approved,2026-01-27,Synthetic demonstration record
REC-00124,MPLADS-SYN-0124,MP-768,2026-07-08,Drinking Water,450000,Local infrastructure need,Approved,2026-09-04,Synthetic demonstration record
REC-00125,MPLADS-SYN-0125,MP-492,2025-12-01,Sports Facility,570000,Public utility improvement,Under Review,2025-12-26,Synthetic demonstration record
REC-00126,MPLADS-SYN-0126,MP-452,2025-10-30,Library,1600000,Water and sanitation,Rejected,2025-11-27,Synthetic demonstration record
REC-00127,MPLADS-SYN-0127,MP-440,2026-02-17,School Building,4870000,Road connectivity,Rejected,2026-04-01,Synthetic demonstration record
REC-00128,MPLADS-SYN-0128,MP-894,2026-01-25,Solar Lighting,850000,Road connectivity,Approved,2026-03-07,Synthetic demonstration record
REC-00129,MPLADS-SYN-0129,MP-885,2026-04-19,Community Hall,3220000,Road connectivity,Approved,2026-05-16,Synthetic demonstration record
REC-00130,MPLADS-SYN-0130,MP-943,2025-12-04,Sports Facility,370000,Public utility improvement,Under Review,2026-01-07,Synthetic demonstration record
REC-00131,MPLADS-SYN-0131,MP-865,2026-04-12,Sports Facility,1570000,Public utility improvement,Approved,2026-06-06,Synthetic demonstration record
REC-00132,MPLADS-SYN-0132,MP-307,2026-05-25,Community Hall,1290000,Road connectivity,Approved,2026-06-13,Synthetic demonstration record
REC-00133,MPLADS-SYN-0133,MP-639,2026-04-16,School Building,2690000,Community facility,Approved,2026-06-05,Synthetic demonstration record
REC-00134,MPLADS-SYN-0134,MP-439,2026-06-17,Community Hall,3120000,Local infrastructure need,Approved,2026-07-18,Synthetic demonstration record
REC-00135,MPLADS-SYN-0135,MP-474,2026-04-02,Sports Facility,1310000,Public utility improvement,Approved,2026-05-19,Synthetic demonstration record
REC-00136,MPLADS-SYN-0136,MP-262,2025-11-10,Sports Facility,500000,Local infrastructure need,Under Review,2025-12-23,Synthetic demonstration record
REC-00137,MPLADS-SYN-0137,MP-584,2026-02-18,School Building,2380000,Water and sanitation,Rejected,2026-03-29,Synthetic demonstration record
REC-00138,MPLADS-SYN-0138,MP-145,2025-12-14,Health Facility,3190000,Community facility,Approved,2026-02-01,Synthetic demonstration record
REC-00139,MPLADS-SYN-0139,MP-607,2025-10-26,Street Lighting,670000,Road connectivity,Under Review,2025-12-25,Synthetic demonstration record
REC-00140,MPLADS-SYN-0140,MP-947,2025-10-09,Health Facility,1720000,Community facility,Rejected,2025-10-29,Synthetic demonstration record
REC-00141,MPLADS-SYN-0141,MP-232,2026-02-16,Solar Lighting,1660000,Local infrastructure need,Rejected,2026-03-23,Synthetic demonstration record
REC-00142,MPLADS-SYN-0142,MP-173,2025-11-07,Sports Facility,2480000,Public utility improvement,Rejected,2025-12-27,Synthetic demonstration record
REC-00143,MPLADS-SYN-0143,MP-718,2026-01-17,School Building,3560000,Public utility improvement,Approved,2026-02-24,Synthetic demonstration record
REC-00144,MPLADS-SYN-0144,MP-239,2026-04-22,Road,1980000,Water and sanitation,Approved,2026-05-13,Synthetic demonstration record
REC-00145,MPLADS-SYN-0145,MP-770,2025-10-17,Road,1740000,Local infrastructure need,Rejected,2025-11-19,Synthetic demonstration record
REC-00146,MPLADS-SYN-0146,MP-363,2026-02-09,Drainage,980000,Road connectivity,Approved,2026-02-24,Synthetic demonstration record
REC-00147,MPLADS-SYN-0147,MP-938,2025-12-31,Drinking Water,620000,Local infrastructure need,Approved,2026-02-08,Synthetic demonstration record
REC-00148,MPLADS-SYN-0148,MP-384,2026-05-06,Drainage,520000,Road connectivity,Under Review,2026-05-30,Synthetic demonstration record
REC-00149,MPLADS-SYN-0149,MP-907,2025-11-25,School Building,1400000,Community facility,Rejected,2025-12-29,Synthetic demonstration record
REC-00150,MPLADS-SYN-0150,MP-824,2026-02-20,Street Lighting,540000,Water and sanitation,Under Review,2026-03-24,Synthetic demonstration record
REC-00151,MPLADS-SYN-0151,MP-318,2026-04-10,Library,690000,Local infrastructure need,Rejected,2026-05-01,Synthetic demonstration record
REC-00152,MPLADS-SYN-0152,MP-799,2025-12-08,Health Facility,1790000,Road connectivity,Approved,2026-01-06,Synthetic demonstration record
REC-00153,MPLADS-SYN-0153,MP-383,2026-01-05,Community Hall,3630000,Community facility,Rejected,2026-01-30,Synthetic demonstration record
REC-00154,MPLADS-SYN-0154,MP-542,2026-01-17,Sports Facility,2180000,Community facility,Rejected,2026-02-02,Synthetic demonstration record
REC-00155,MPLADS-SYN-0155,MP-125,2026-02-04,Drainage,790000,Local infrastructure need,Approved,2026-03-31,Synthetic demonstration record
REC-00156,MPLADS-SYN-0156,MP-331,2026-04-25,Road,2480000,Road connectivity,Under Review,2026-06-17,Synthetic demonstration record
REC-00157,MPLADS-SYN-0157,MP-608,2026-04-28,Drinking Water,1620000,Road connectivity,Under Review,2026-06-17,Synthetic demonstration record
REC-00158,MPLADS-SYN-0158,MP-741,2026-06-01,Community Hall,890000,Local infrastructure need,Approved,2026-07-16,Synthetic demonstration record
REC-00159,MPLADS-SYN-0159,MP-513,2026-03-02,Road,2920000,Local infrastructure need,Approved,2026-03-24,Synthetic demonstration record
REC-00160,MPLADS-SYN-0160,MP-686,2026-06-01,Solar Lighting,1510000,Community facility,Approved,2026-07-17,Synthetic demonstration record
REC-00161,MPLADS-SYN-0161,MP-361,2026-03-24,Health Facility,3700000,Public utility improvement,Rejected,2026-05-05,Synthetic demonstration record
REC-00162,MPLADS-SYN-0162,MP-627,2026-03-20,Drinking Water,1200000,Public utility improvement,Rejected,2026-04-22,Synthetic demonstration record
REC-00163,MPLADS-SYN-0163,MP-988,2025-12-27,School Building,1730000,Local infrastructure need,Approved,2026-01-24,Synthetic demonstration record
REC-00164,MPLADS-SYN-0164,MP-264,2026-04-27,School Building,2220000,Public utility improvement,Approved,2026-05-26,Synthetic demonstration record
REC-00165,MPLADS-SYN-0165,MP-429,2026-03-16,Sports Facility,920000,Road connectivity,Approved,2026-04-28,Synthetic demonstration record
REC-00166,MPLADS-SYN-0166,MP-396,2026-02-17,Sports Facility,2180000,Water and sanitation,Approved,2026-04-16,Synthetic demonstration record
REC-00167,MPLADS-SYN-0167,MP-419,2026-02-23,School Building,2170000,Community facility,Approved,2026-04-04,Synthetic demonstration record
REC-00168,MPLADS-SYN-0168,MP-574,2026-03-31,Solar Lighting,350000,Road connectivity,Rejected,2026-05-15,Synthetic demonstration record
REC-00169,MPLADS-SYN-0169,MP-361,2025-11-29,Drinking Water,660000,Local infrastructure need,Rejected,2025-12-15,Synthetic demonstration record
REC-00170,MPLADS-SYN-0170,MP-512,2025-12-15,Street Lighting,510000,Water and sanitation,Rejected,2026-01-21,Synthetic demonstration record
REC-00171,MPLADS-SYN-0171,MP-112,2026-03-02,Street Lighting,1480000,Local infrastructure need,Rejected,2026-04-10,Synthetic demonstration record
REC-00172,MPLADS-SYN-0172,MP-265,2025-12-17,Health Facility,2320000,Community facility,Approved,2026-01-08,Synthetic demonstration record
REC-00173,MPLADS-SYN-0173,MP-906,2026-05-30,Community Hall,3230000,Community facility,Approved,2026-06-21,Synthetic demonstration record
REC-00174,MPLADS-SYN-0174,MP-948,2025-12-24,Library,360000,Public utility improvement,Rejected,2026-02-11,Synthetic demonstration record
REC-00175,MPLADS-SYN-0175,MP-592,2026-06-15,Drainage,1980000,Community facility,Under Review,2026-07-28,Synthetic demonstration record
REC-00176,MPLADS-SYN-0176,MP-536,2025-11-29,Sports Facility,1860000,Road connectivity,Approved,2026-01-21,Synthetic demonstration record
REC-00177,MPLADS-SYN-0177,MP-302,2026-05-19,Health Facility,1920000,Local infrastructure need,Under Review,2026-06-26,Synthetic demonstration record
REC-00178,MPLADS-SYN-0178,MP-700,2026-02-21,Street Lighting,400000,Water and sanitation,Approved,2026-04-19,Synthetic demonstration record
REC-00179,MPLADS-SYN-0179,MP-511,2026-02-17,Street Lighting,930000,Water and sanitation,Rejected,2026-03-06,Synthetic demonstration record
REC-00180,MPLADS-SYN-0180,MP-656,2026-04-01,Library,390000,Road connectivity,Approved,2026-04-22,Synthetic demonstration record
REC-00181,MPLADS-SYN-0181,MP-307,2026-06-30,Sports Facility,1920000,Road connectivity,Under Review,2026-07-28,Synthetic demonstration record
REC-00182,MPLADS-SYN-0182,MP-633,2026-02-23,Sports Facility,780000,Road connectivity,Approved,2026-03-17,Synthetic demonstration record
REC-00183,MPLADS-SYN-0183,MP-773,2026-01-10,School Building,1240000,Road connectivity,Rejected,2026-02-16,Synthetic demonstration record
REC-00184,MPLADS-SYN-0184,MP-257,2026-01-18,Library,1050000,Road connectivity,Approved,2026-02-09,Synthetic demonstration record
REC-00185,MPLADS-SYN-0185,MP-993,2026-04-29,Drinking Water,1510000,Water and sanitation,Approved,2026-06-12,Synthetic demonstration record
REC-00186,MPLADS-SYN-0186,MP-798,2026-05-14,Library,1190000,Local infrastructure need,Rejected,2026-07-13,Synthetic demonstration record
REC-00187,MPLADS-SYN-0187,MP-414,2026-07-15,Health Facility,2150000,Community facility,Approved,2026-08-23,Synthetic demonstration record
REC-00188,MPLADS-SYN-0188,MP-740,2026-06-18,Solar Lighting,1390000,Community facility,Approved,2026-07-08,Synthetic demonstration record
REC-00189,MPLADS-SYN-0189,MP-520,2025-10-24,School Building,1070000,Road connectivity,Under Review,2025-12-01,Synthetic demonstration record
REC-00190,MPLADS-SYN-0190,MP-925,2026-05-12,Drainage,890000,Road connectivity,Under Review,2026-06-06,Synthetic demonstration record
REC-00191,MPLADS-SYN-0191,MP-737,2025-11-29,Solar Lighting,1140000,Public utility improvement,Rejected,2026-01-19,Synthetic demonstration record
REC-00192,MPLADS-SYN-0192,MP-206,2026-02-22,Community Hall,1490000,Public utility improvement,Rejected,2026-03-21,Synthetic demonstration record
REC-00193,MPLADS-SYN-0193,MP-503,2025-12-16,Drinking Water,810000,Road connectivity,Rejected,2026-01-11,Synthetic demonstration record
REC-00194,MPLADS-SYN-0194,MP-509,2026-01-20,Road,1860000,Water and sanitation,Rejected,2026-03-09,Synthetic demonstration record
REC-00195,MPLADS-SYN-0195,MP-587,2025-10-11,Library,1480000,Water and sanitation,Under Review,2025-12-01,Synthetic demonstration record
REC-00196,MPLADS-SYN-0196,MP-469,2026-01-05,School Building,1830000,Community facility,Rejected,2026-01-24,Synthetic demonstration record
REC-00197,MPLADS-SYN-0197,MP-953,2026-06-14,Drinking Water,1600000,Road connectivity,Approved,2026-07-30,Synthetic demonstration record
